instrument_token,primary_interval_min,alttf_multiplier,effective_alttf_min,total_trades,winning_trades,losing_trades,win_rate_pct,total_pnl,gross_profit,gross_loss,average_pnl_per_trade,average_profit_per_winning_trade,average_loss_per_losing_trade,profit_factor,max_drawdown_absolute,max_drawdown_percentage,sharpe_ratio_per_trade,info
269577,1,60,60,423,175.0,47.0,41.371158392434985,133.0600000000045,190.0400000000045,56.98000000000002,0.3145626477541477,1.0859428571428829,1.2123404255319152,3.3352053352054134,10.89999999999418,0.010892510309905089,0.2183794255992865,
269833,1,60,60,177,77.0,34.0,43.50282485875706,40.050000000002456,123.60000000000173,83.54999999999927,0.22627118644069183,1.6051948051948277,2.457352941176449,1.4793536804309133,29.989999999990687,0.02996993512842221,0.078248755854541,
270089,1,60,60,404,211.0,97.0,52.22772277227723,85.75999999999704,145.1500000000001,59.390000000003056,0.21227722772276494,0.6879146919431284,0.612268041237145,2.4440141437951275,15.290000000008149,0.015281019344939127,0.1725026159884599,
270345,1,60,60,801,558.0,237.0,69.66292134831461,9442.449999999979,10614.299999999988,1171.8500000000095,11.788327091136054,19.022043010752668,4.944514767932529,9.057729231556857,60.5,0.06012751007508485,0.5629940101453811,
270601,1,60,60,789,529.0,256.0,67.0468948035488,8631.099999999991,11557.349999999984,2926.2499999999936,10.939290240811141,21.847542533081256,11.430664062499975,3.9495429303716394,158.34999999999127,0.15823693970657093,0.39552542813661334,
270857,1,60,60,972,632.0,337.0,65.02057613168725,41092.89999999993,60738.10000000003,19645.2000000001,42.2766460905349,96.10458860759498,58.294362017804445,3.0917526927697208,3546.7999999999884,2.479050596592312,0.25557716365535643,
271113,1,60,60,897,604.0,290.0,67.33556298773689,22833.899999999965,27682.500000000004,4848.600000000039,25.455852842809325,45.831953642384114,16.71931034482772,5.7093800272243085,416.3000000000029,0.35127718748734543,0.46579587147762835,
271625,1,60,60,1016,656.0,357.0,64.56692913385827,18050.99999999998,23324.599999999984,5273.600000000002,17.76673228346455,35.55579268292681,14.771988795518213,4.422898968446597,369.40000000000873,0.3666082779633181,0.348093482626038,
271881,1,60,60,1135,707.0,423.0,62.290748898678416,16731.800000000076,23889.90000000006,7158.099999999984,14.741674008810639,33.790523338048175,16.922222222222185,3.33746385213955,544.3999999999942,0.47322094480768995,0.2858524450160473,
272137,1,60,60,873,582.0,280.0,66.66666666666666,11702.899999999965,13730.699999999983,2027.8000000000175,13.405383734249673,23.592268041237084,7.24214285714292,6.771229904329749,238.60000000000582,0.225270518169404,0.45661534837980033,
272393,1,60,60,742,490.0,242.0,66.0377358490566,3100.5999999999817,3973.3999999999915,872.8000000000097,4.178706199460891,8.108979591836718,3.606611570247974,4.552474793767126,66.30000000000291,0.06527775042829581,0.42388094228819134,
273673,1,60,60,834,576.0,253.0,69.06474820143885,17773.699999999975,20928.699999999997,3155.000000000022,21.311390887290138,36.3345486111111,12.470355731225382,6.633502377179034,199.8000000000029,0.18340943264247547,0.5016208742868686,
288009,1,60,60,849,531.0,317.0,62.544169611307424,7085.950000000032,9880.300000000025,2794.349999999994,8.346230859835137,18.606967984934133,8.814984227129319,3.5358133376277294,202.6999999999971,0.19285430556513308,0.3398480036837258,
